year,S. Africa,Mexico,Australia,India,Japan,UK,Germany,USA,Europe,China
2010,0,0,12,450,2400,240,140,1200,2000,1100
2011,5,3,49,1400,13000,1200,1400,9800,10000,4800
2012,20,88,170,190,13000,1600,2200,15000,18000,9600
2013,34,12,190,410,15000,2600,5200,48000,33000,15000
2014,14,48,370,1000,16000,6700,9100,63000,62000,49000
2015,120,92,760,450,10000,10000,12000,71000,88000,150000
2016,100,250,670,730,15000,10000,11000,87000,92000,260000
2017,68,230,1200,920,18000,14000,25000,100000,140000,470000
2018,66,200,1800,920,27000,16000,36000,240000,200000,820000
2019,160,290,6300,680,21000,38000,63000,240000,360000,830000
2020,92,1800,5200,3100,15000,110000,190000,230000,750000,920000
2021,220,3000,17000,12000,22000,190000,360000,470000,1200000,2700000
2022,500,4400,33000,48000,61000,270000,470000,800000,1600000,4400000
